Instructions,Responses
O que é a Comunidade Universitária?,"A Comunidade Universitária é constituída pelos corpos docente, técnico-administrativo e técnico-marítimo, ativos e inativos, bem como pelos discentes."
Quais são os tipos de alunos que compõem o corpo discente?,"O corpo discente é constituído por alunos regulares, especiais e avulsos."
Como a Universidade do Amazonas confere diplomas?,"A Universidade confere diplomas aos alunos regulares que concluírem cursos de graduação, cursos sequenciais, cursos de extensão e de pós-graduação, conforme os requisitos legais."
Quais são os órgãos suplementares da Universidade?,"Os órgãos suplementares incluem o Sistema de Bibliotecas, Centro de Processamento de Dados, Centro de Artes, Hospital Universitário, entre outros."
Como se dá a gestão financeira da Universidade?,A gestão financeira da Universidade é realizada através de um orçamento anual que consigna os recursos necessários para cobrir despesas e encargos.
O que é a aceleração de estudos na UFAM?,"A aceleração de estudos na Universidade Federal do Amazonas (UFAM) é um processo que permite ao estudante regularmente matriculado abreviar a duração do seu curso presencial, desde que observe as disposições do regulamento específico aprovado pela universidade."
Quais são os requisitos para solicitar a aceleração de estudos?,"Para solicitar a aceleração de estudos, o aluno deve apresentar um pedido circunstanciado que inclua: histórico escolar analítico atualizado, cópia do RG e do CPF, justificativa da solicitação de aceleração e, se aplicável, procuração específica caso esteja representado por terceiros."
Quem deve aprovar o pedido de aceleração de estudos?,"O pedido de aceleração de estudos deve ser analisado e aprovado pelo Colegiado do Curso, que avaliará a justificativa e os componentes curriculares que podem ser acelerados."
O que é considerado 'extraordinário aproveitamento de estudos'?,"O 'extraordinário aproveitamento de estudos' é reconhecido quando o aluno demonstra que assimilou validamente o aprendizado e adquiriu as competências e habilidades exigidas no Projeto Pedagógico do curso que pretende abreviar, o que é aferido por meio de exames específicos."
Qual é o papel da Banca Examinadora Especial?,"A Banca Examinadora Especial é composta por três professores indicados pelo Coordenador do Curso e é responsável por definir as características da prova, aplicar e corrigir a avaliação, bem como lavrar a ata da realização da prova."
Quais critérios a Banca Examinadora Especial deve seguir para a avaliação?,"A Banca Examinadora Especial deve definir os critérios de avaliação de desempenho do aluno, elaborar, aplicar e corrigir a prova, e registrar tudo em uma ata que contém informações sobre a prova e o desempenho do aluno."
Qual é a nota mínima necessária para comprovar o desempenho extraordinário?,"O aluno deve alcançar, no mínimo, a nota final de 9 (nove) para comprovar o extraordinário desempenho na avaliação da aceleração de estudos."
O que acontece se o aluno não comparecer à avaliação?,O não comparecimento do aluno à avaliação será considerado como desistência do pedido de aceleração de estudos.
Qual é o prazo para o encerramento do processo de aceleração de estudos?,"O processo de aceleração de estudos deve ser encerrado no prazo máximo de 60 (sessenta) dias, exceto em caso de interposição de recursos."
É possível recorrer de uma decisão relacionada à aceleração de estudos?,"Sim, o aluno pode interpor recurso contra a decisão do Coordenador do Curso que denegar o pedido de aceleração, a composição da Banca Examinadora Especial, ou o resultado final da avaliação."
Quais documentos são necessários para instruir o pedido de aceleração?,"Os documentos necessários incluem: histórico escolar analítico atualizado, cópia do RG e do CPF, justificativa da solicitação de aceleração, e procuração específica, se estiver sendo representado por terceiros."
O aluno pode solicitar a aceleração de estudos se estiver em processo de jubilamento?,"Não, o aluno que requerer a aceleração de estudos não pode estar em processo de jubilamento."
Qual é a consequência da reprovação na avaliação de aceleração de estudos?,"Se o aluno for reprovado, não poderá candidatar-se a uma nova avaliação para fins de aceleração da mesma disciplina e poderá pedir reconsideração do resultado dentro de 48 horas."
Como a nota final da avaliação é calculada?,"A nota final é a média aritmética das notas atribuídas por cada membro da Banca Examinadora Especial, que atribui notas de 0,0 a 10,0."
O que deve constar na ata da realização da prova?,"Na ata devem constar: data, hora e local da prova; nomes dos membros da Banca; nome e matrícula do aluno; disciplina da prova; procedimentos adotados; intercorrências; e horário de encerramento, além das assinaturas."
Quem pode definir quais componentes curriculares não poderão ser submetidos à aceleração?,"O Colegiado do Curso, mediante justificativa, pode definir quais componentes curriculares não poderão ser submetidos à aceleração."
Quando a resolução sobre aceleração de estudos entrou em vigor?,"A resolução e o regulamento sobre a aceleração de estudos entraram em vigor na data da publicação, em 3 de dezembro de 2015."
Quais são os casos omissos que podem ocorrer no processo de aceleração?,"Os casos omissos serão dirimidos pela Câmara de Ensino de Graduação, observando a legislação vigente."
O que acontece se o aluno for aprovado na avaliação de aceleração de estudos?,"Se o aluno for aprovado, o Coordenador do Curso enviará a Ata final à PROEG, e será consignado no histórico escolar a expressão 'Extraordinário Aproveitamento', juntamente com a nota final obtida na avaliação."
Qual é a finalidade da Resolução n° 020/2019 da UFAM?,"A Resolução n° 020/2019 tem como finalidade regulamentar a criação, modificação e extinção de cursos superiores no âmbito da Universidade Federal do Amazonas (UFAM), assegurando que essas iniciativas estejam de acordo com a política institucional e com as diretrizes educacionais vigentes."
Quais documentos devem contemplar a criação de um novo curso na UFAM?,"A criação de um novo curso na UFAM deve estar contemplada no Plano de Desenvolvimento Institucional (PDI), no Projeto Pedagógico Institucional (PPI) e no Projeto Pedagógico do Curso (PPC)."
O que a unidade acadêmica deve realizar antes da criação de um novo curso?,"Antes da criação de um novo curso, a unidade acadêmica deve realizar um estudo de demanda de natureza social, econômica e institucional, que deve ser mediado pela PROEG e pela PROPLAN, para demonstrar a viabilidade do curso."
Quais são os componentes que devem ser considerados no Plano de Implantação do Curso?,"O Plano de Implantação do Curso deve considerar a análise da infraestrutura física necessária, recursos financeiros, corpo docente e técnico-administrativo, o PPC, e sistemas de acompanhamento e avaliação da implantação do curso."
Qual é o prazo mínimo para encaminhar o processo de criação de um curso à PROEG?,O processo de criação do curso deve ser encaminhado à Pró-Reitoria de Ensino de Graduação (PROEG) com no mínimo um ano de antecedência à sua implantação.
Quais são os procedimentos para a elaboração do PPC?,"A elaboração do PPC deve ser realizada por uma comissão designada pela direção da unidade acadêmica, com base nas propostas do Núcleo Docente Estruturante (NDE), e deve ser aprovada pelo colegiado de curso antes de ser enviada ao DAE/PROEG."
O que é considerado um componente curricular?,"Um componente curricular é uma atividade desenvolvida em um período letivo que compõe a matriz curricular de um curso, com um número mínimo de horas prefixadas em atividades teóricas e/ou práticas, conforme a ementa definida no PPC."
Como a carga horária de um componente curricular é calculada?,"A carga horária de cada componente curricular é calculada de acordo com o número de créditos, sendo um crédito teórico equivalente a 15 horas/aula e um crédito prático equivalente a 30 horas/aula."
Quais são as etapas para a alteração curricular?,"As etapas para a alteração curricular incluem a proposta de alteração pelo NDE, aprovação pelo colegiado de curso, análise pelo DAE/PROEG e, por fim, deliberação pela CEG/CONSEPE."
O que caracteriza a extinção de um curso na UFAM?,"A extinção de um curso na UFAM pode ocorrer quando o curso não está mais alinhado com os objetivos da UFAM, quando não há mais justificativas para sua existência ou quando a extinção é feita em conjunto com a criação de outro curso que atenda melhor às demandas sociais."
